No.,State,District,Date,Flood Cause,Main River Basin,latitude,longitude,geocode_status
46,Kedah,Kuala Muda,8/5/2025,"Air Sungai Melimpah , Hujan Lebat / Berterusan",Sungai Merbok (Kg. Batu 2),5.5862766,100.3743503,success
47,Kedah,Baling,4/5/2025,"Air Sungai Melimpah , Hujan Lebat / Berterusan",Sungai Muda (KG SIPUT),5.673566,100.9158818,success
48,Selangor,Kuala Selangor,4/5/2025,"Hujan Lebat / Berterusan, Saliran Dalaman",-,3.3392354,101.2497808,success
49,Sabah,Sipitang,3/5/2025,"Air Sungai Melimpah , Hujan Lebat / Berterusan",Sungai Mengalong (Kg Sindumin Baru); Sungai Mengalong (Kg Skim Sindumin); Sungai Mengalong (Kg Kawang Baru); Sungai Mengalong (Kg Kawang Lama); Sungai Mengalong (Kg Kawang Taliair); Sungai Mengalong (Kg Luagan); Sungai Mengalong (Kg Siputol); Sungai Mengalong (Kg Banting); Sungai Mengalong (Kg Kuala Mengalong),5.07919,115.550825,success
50,Sabah,Tenom,2/5/2025,"Air Sungai Melimpah , Hujan Lebat / Berterusan",Sungai Padas (Kg. Enubai); Sungai Padas (PADSTP0096 - Kg. Pantongan Sapong),5.1247314,115.9444858,success
51,Sabah,Tenom,2/5/2025,"Air Sungai Melimpah , Hujan Lebat / Berterusan",Sungai Padas (PADSTP0098 - Kg. Ponontomon); Sungai Padas (Kg. Ponontomon Tanjung); Sungai Padas (Kg. Pantungan Saga); Sungai Padas (PADSTP0104 - Kg. Mandalom Lama); Sungai Padas (Kg. Pansailon Tanjung); Sungai Padas (PADSTP0095 - Kg. Tumantalik); Sungai Padas (Kg. Binsilon); Sungai Padas (PADSTP0097 - Kg. Binaei); Sungai Padas (Kg.Kalang Kanar); Sungai Padas (Kg. Makakagas); Sungai Padas (Kg. Pogoukon Laut); Sungai Padas (Kg. Bunut); Sungai Padas (Kg. Entabuan Padang); Sungai Padas (Kg. Batu-Batu),5.1247314,115.9444858,success
52,Sabah,Penampang,2/5/2025,"Hujan Lebat / Berterusan, Longkang Tersumbat, Saliran Dalaman",Sungai Monyog (Jalan Panglima Banting); Sungai Monyog (MYOGTP0007 - Kg. Kolopis); Sungai Monyog (MYOGTP0025 - Kg. Kibabaig),5.9088111,116.100959,success
53,Kedah,Bandar Baharu,2/5/2025,"Hujan Lebat / Berterusan, Longkang Tersumbat, Saliran Dalaman",Sungai Kerian (Kg Balai Lama),5.1302847,100.4952408,success
54,Sabah,Beaufort,2/5/2025,"Air Sungai Melimpah , Hujan Lebat / Berterusan",Sungai Padas (PADSTP0018 - Kg. Bakalau); Sungai Padas (PADSTP0036 - Kg. Binunuk); Sungai Padas (PADSTP0035 - Kg. Balibata); Sungai Padas (PADSTP0019 - Kg. Bingkul); Sungai Padas (PADSTP0051 - Kg. Suasa); Sungai Padas (PADSTP0074 - Kg. Lago); Sungai Padas (PADSTP0021 - Kg. Mempagar (SK)); Sungai Padas (PADSTP0020 - Kg. Melulugus); Sungai Padas (Kg. Kukup); Sungai Padas (PADSTP0005 - Kg. Batu 60); Sungai Padas (Kg. Kangsa); Sungai Padas (PADSTP0056 - Kg. Berumbai); Sungai Padas (Kg. Gumarit); Sungai Padas (Simpang 4 Chan Furniture); Sungai Padas (PADSTP0082 - Kg. Lumatai); Sungai Padas (PADSTP0084 - Kg. Luagan (SK)); Sungai Padas (PADSTP0022 - Kg. Limbawang); Sungai Padas (PADSTP0041 - Kg. Lubak); Sungai Padas (Kg. Poring Lupak); Sungai Padas (Kg. Lupak); Sungai Padas (PADSTP0038 - Kg. Beringin); Sungai Padas (PADSTP0055 - Kg. Jabang); Sungai Padas (PADSTP0054 - Kg. Bangkalalak); Sungai Padas (PADSTP0048 - Kg. Lawa); Sungai Padas (PADSTP0078 - Kg. Kebajang Ulu); Sungai Padas (PADSTP0057 - Kg. Mentulud); Sungai Padas (Kg. Indulibai); Sungai Padas (PADSTP0060 - Kg. Pancung / Melabau); Sungai Padas (PADSTP0063 - Kg. Rancangan Klias); Sungai Padas (PADSTP0032 - Kg. Pintas Kubu); Sungai Padas (Kg. Lumadan); Sungai Padas (PADSTP0044 - Kg. Batandok); Sungai Padas (PADSTP0047 - Kg. Garama); Sungai Padas (Kg Gadong); Sungai Padas (Kg. Gelila); Sungai Padas (Kg Sungkadan); Sungai Padas (PADSTP0083 - Kg. Melati); Sungai Padas (Kuarters SESB Beaufort); Sungai Padas (Kuarters Kereta Api); Sungai Padas (Kg Batu 58); Sungai Padas (Kg Jempangah); Sungai Padas (Kg Kitalabak); Sungai Padas (Kg Luagan Sanginan); Sungai Padas (Kg Laboi); Sungai Padas (Kg Mapait); Sungai Padas (PADSTP0031 - Kg. Lajau); Sungai Padas (Kg. Tuhu); Sungai Padas (Kg Selinsing); Sungai Padas (Kg Kuala Balik); Sungai Padas (PADSTP0010 - Kg. Batu 65); Sungai Padas (Kg Jaya Baru); Sungai Padas (PADSTP0085 - Kg. Lupak Seberang.); Sungai Padas (PADSTP0002 - Kg. Cina); Sungai Padas (Kg Kurian Padas Damit); Sungai Padas (Kg Klias Baru 54); Sungai Padas (PADSTP0080 - Kg. Bukau (SK)); Sungai Padas (PADSTP0081 - Kg. Tamalang Along); Sungai Padas (Kg Kebulu); Sungai Padas (PADSTP0028 - Kg. Mananjung); Sungai Padas (PADSTP0046 - Kg. Kuridak); Sungai Padas (PADSTP0033 - Kg. Pintas (SK)); Sungai Padas (PADSTP0001 - Pekan Beaufort); Sungai Padas (PADSTP0063 - Kg. Rancangan Klias); Sungai Padas (Kg Pilajau),5.3455687,115.7453354,success
55,Pahang,Cameron Highlands,1/5/2025,"Air Sungai Melimpah , Hujan Lebat / Berterusan, Longkang Tersumbat, Pembangunan / Pembukaan Tanah / Sampah Sarap, Saliran Dalaman , Struktur / Lintasan Menghalang Laluan Air",Sungai Pahang (TLUMTP0005 - Tringkap),4.4678921,101.3847868,success
